SCHOOL,LOCATION,DISTRICT,REGION
OGUAA SENIOR HIGH/TECH SCHOOL,CAPE COAST,CAPE COAST METRO,CENTRAL
MFANTSIPIM SCHOOL,CAPE COAST,CAPE COAST METRO,CENTRAL
"ST. AUGUSTINE'S COLLEGE, CAPE COAST",CAPE COAST,CAPE COAST METRO,CENTRAL
WINNEBA SENIOR HIGH SCHOOL,WINNEBA,EFFUTU MUNICIPAL,CENTRAL
EKUMFI T. I. AHMADIIYYA SENIOR HIGH SCHOOL,ESAKYIR,EKUMFI,CENTRAL
J.E.A. MILLS SENIOR HIGH SCHOOL,OTUAM,EKUMFI,CENTRAL
AKYIN SENIOR HIGH SCHOOL,MBROBOTO,EKUMFI CENTRAL,CENTRAL
OGYEEDOM COMM SENIOR HIGH/TECH SCHOOL,GOMOA AFRANSI,GOMOA CENTRAL,CENTRAL
ST. GREGORY CATHOLIC SENIOR HIGH SCHOOL,BUDUBURAM,GOMOA EAST,CENTRAL
GOMOA GYAMAN SENIOR HIGH SCHOOL,GOMOA GYAMAN,GOMOA EAST,CENTRAL
POTSIN T.I. AHM. SENIOR HIGH SCHOOL,POTSIN,GOMOA EAST,CENTRAL
FETTEHMAN SENIOR HIGH SCHOOL,GOMOA FETTEH,GOMOA EAST,CENTRAL
"COLLEGE OF MUSIC SENIOR HIGH SCHOOL, MOZANO",MOZANO,GOMOA WEST,CENTRAL
MOZANO SENIOR HIGH SCHOOL,MOZANO,GOMOA WEST,CENTRAL
GOMOA SENIOR HIGH/TECH SCHOOL,DAWURAMPON,GOMOA WEST,CENTRAL
APAM SENIOR HIGH SCHOOL,APAM,GOMOA WEST,CENTRAL
EGUAFO-ABREM SENIOR HIGH SCHOOL,EGUAFO ABIREM,KOMENDA/EDINA/EGUAFO/A BIREM MUNICIPAL,CENTRAL
EDINAMAN SENIOR HIGH SCHOOL,ELMINA,KOMENDA/EDINA/EGUAFO/A BIREM MUNICIPAL,CENTRAL
KOMENDA SENIOR HIGH/TECH SCHOOL,KOMENDA,KOMENDA/EDINA/EGUAFO/A BIREM MUNICIPAL,CENTRAL
ABEADZE STATE COLLEGE,ABEADZE DOMEABRA,MFANTSIMAN MUNICIPAL,CENTRAL
MANKESSIM SENIOR HIGH/TECH SCHOOL,MANKESIM,MFANTSIMAN MUNICIPAL,CENTRAL
MFANTSIMAN GIRLS SENIOR HIGH SCHOOL,SALTPOND,MFANTSIMAN MUNICIPAL,CENTRAL
"METHODIST HIGH SCHOOL,SALTPOND",SALTPOND,MFANTSIMAN MUNICIPAL,CENTRAL
KWEGYIR AGGREY SENIOR HIGH SCHOOL,ANOMABO,MFANTSIMAN MUNICIPAL,CENTRAL
TWIFO PRASO SENIOR HIGH SCHOOL,TWIFO PRASO,TWIFO ATI-MORKWA,CENTRAL
TWIFO HEMANG SENIOR HIGH/TECH SCHOOL,HEMAN,TWIFO HEMANG LOWER DENKYIRA,CENTRAL
JUKWA SENIOR HIGH SCHOOL,JUKWA,TWIFO HEMANG LOWER DENKYIRA,CENTRAL
MOKWAA SENIOR HIGH SCHOOL,NAMOO,TWIFU ATTI-MOKWAA,CENTRAL
DUNKWA SENIOR HIGH/TECH SCHOOL,DUNKWA-ON-OFFIN,UPPER DENKYIRA EAST MUNICIPAL,CENTRAL
BOA-AMPONSEM SENIOR HIGH SCHOOL,DUNKWA-ON-OFFIN,UPPER DENKYIRA EAST MUNICIPAL,CENTRAL
DIASO SENIOR HIGH SCHOOL,DIASO,UPPER DENKYIRA WEST,CENTRAL
AYANFURI SENIOR HIGH SCHOOL,AYANFURI,UPPER DENKYIRA WEST,CENTRAL
DONKORKROM AGRIC SENIOR HIGH SCHOOL,DONKORKROM,AFRAM PLAINS (KWAHU NORTH),EASTERN
MEM-CHEMFRE COMM. SENIOR HIGH SCHOOL,MEM-CHEMFRE,AFRAM PLAINS (KWAHU NORTH),EASTERN
MAAME KROBO COMM. SENIOR HIGH SCHOOL,MAAME KROBO,AFRAM PLAINS (KWAHU SOUTH),EASTERN
ST. FIDELIS SENIOR HIGH/TECH SCHOOL,TEASE,AFRAM PLAINS (KWAHU SOUTH),EASTERN
J.G. KNOL VOC. TECH. INST.,ADUKROM AKW.,AKUAPEM NORTH,EASTERN
NIFA SENIOR HIGH SCHOOL,ADUKROM,AKWAPIM NORTH,EASTERN
"PRESBY SENIOR HIGH/TECH SCHOOL, ADUKROM",ADUKROM,AKWAPIM NORTH,EASTERN
H'MOUNT SINAI SENIOR HIGH SCHOOL,AKROPONG,AKWAPIM NORTH,EASTERN
OKUAPEMAN SENIOR HIGH SCHOOL,AKROPONG,AKWAPIM NORTH,EASTERN
MANGOASE SENIOR HIGH SCHOOL,MANGOASE,AKWAPIM NORTH,EASTERN
BENKUM SENIOR HIGH SCHOOL,LARTEH-AKWAPIM,AKWAPIM NORTH,EASTERN
"METHODIST GIRLS SENIOR HIGH SCHOOL, MAMFE",MAMFE,AKWAPIM NORTH,EASTERN
"PRESBY  SENIOR HIGH/TECH SCHOOL, LARTEH",LARTEH-KUBEASE,AKWAPIM NORTH,EASTERN
MAMPONG/AKW SENIOR HIGH/TECH SCHOOL FOR THE DEAF,MAMPONG,AKWAPIM NORTH,EASTERN
"PRESBY SENIOR HIGH SCHOOL, MAMPONG AKWAPIM",MAMPONG-AKWAPIM,AKWAPIM NORTH,EASTERN
"PRESBY SENIOR HIGH/TECH SCHOOL, ABURI",ABURI,AKWAPIM SOUTH,EASTERN
ADONTEN SENIOR HIGH SCHOOL,ABURI,AKWAPIM SOUTH,EASTERN
ABURI GIRLS SENIOR HIGH SCHOOL,ABURI,AKWAPIM SOUTH,EASTERN
DIASPORA GIRLS' SENIOR HIGH SCHOOL,OBODAN-NSAWAM,AKWAPIM SOUTH,EASTERN
AKOKOASO SENIOR HIGH/TECH SCHOOL,AKIM AKOKOASO,AKYEMANSA,EASTERN
AYIREBI SENIOR HIGH SCHOOL,AYIREBI,AKYEMANSA,EASTERN
BOSO SENIOR HIGH TECHNICAL SCHOOL,BOSO,ASUOGYAMAN,EASTERN
ANUM PRESBY SENIOR HIGH SCHOOL,ANUM,ASUOGYAMAN,EASTERN
ADJENA SENIOR HIGH/TECH SCHOOL,ADJENA,ASUOGYAMAN,EASTERN
APEGUSO SENIOR HIGH SCHOOL,APEGUSO,ASUOGYAMAN,EASTERN
AKWAMUMAN SENIOR HIGH SCHOOL,ATIMPOKUAKOSOMBO,ASUOGYAMAN,EASTERN
"S.D.A. SENIOR HIGHSCHOOL, AKIM SEKYERE",AKIM SEKYERE,ATIWA,EASTERN
KWABENG ANGLICAN SENIOR HIGH/TECH SCHOOL,KWABENG,ATIWA,EASTERN
ANUM APAPAM COMM. DAY SENIOR HIGH SCHOOL,ANUM APAPAM,AYENSUANO,EASTERN
KRABOA-COALTAR PRESBY SENIOR HIGH SCHOOL HIGH/TECH.,KRABOA-COALTAR,AYENSUANO ,EASTERN
ODA SENIOR HIGH SCHOOL,AKIM ODA,BIRIM CENTRAL MUNICIPAL,EASTERN
"ST. FRANCIS SENIOR HIGH/TECH SCHOOL, AKIM ODA",AKIM ODA,BIRIM CENTRAL MUNICIPAL,EASTERN
ATTAFUAH SENIOR HIGH/TECH SCHOOL,AKIM ODA,BIRIM CENTRAL MUNICIPAL,EASTERN
ATWEAMAN SENIOR HIGH SCHOOL,AKIM MANSO,BIRIM CENTRAL MUNICIPAL,EASTERN
AKROSO SENIOR HIGH/TECH SCHOOL,AKROSO,BIRIM CENTRAL MUNICIPAL,EASTERN
AMOANA PRASO SENIOR HIGH SCHOOL,AMOANA PRASO,BIRIM NORTH,EASTERN
"ST. MICHAEL'S SENIOR HIGH SCHOOL, AKOASE (NKAWKAW)","AKOASE, NKAWKAW",BIRIM NORTH,EASTERN
NEW ABIREM/AFOSU SENIOR HIGH SCHOOL,NEW ABIREM,BIRIM NORTH,EASTERN
AKIM SWEDRU SENIOR HIGH SCHOOL,AKIM SWEDRU,BIRIM SOUTH,EASTERN
ACHIASE SENIOR HIGH SCHOOL,ACHIASE,BIRIM SOUTH,EASTERN
APERADE SENIOR  HIGH/TECH SCHOOL,AKIM APERADE,BIRIM SOUTH,EASTERN
AKWATIA TECH. INST.,AKWATIA,DENKYEMBOUR,EASTERN
"ST. ROSE'S SENIOR HIGH SCHOOL, AKWATIA",AKWATIA,DENKYEMBOUR ,EASTERN
TARKROSI COMM. SENIOR HIGH SCHOOL,TARKROSI,DENKYEMBOUR ,EASTERN
"SALVATION ARMY SENIOR HIGH SCHOOL, AKIM WENCHI",AKIM WENCHI,DENKYEMBOUR ,EASTERN
ST. PAUL'S TECH. SCHOOL,KUKURANTUMI,EAST AKIM,EASTERN
"W.B.M. ZION SENIOR HIGH SCHOOL, OLD TAFO",OLD TAFO,EAST AKIM MUNICIPAL,EASTERN
"ST. STEPHEN'S PRESBY SENIOR HIGH/TECH SCHOOL, ASIAKWA",ASIAKWA,EAST AKIM MUNICIPAL,EASTERN
"SAVIOUR SENIOR HIGH SCHOOL, OSIEM",OSIEM,EAST AKIM MUNICIPAL,EASTERN
OFORI PANIN SENIOR HIGH SCHOOL,KUKURANTUMI,EAST AKIM MUNICIPAL,EASTERN
AKIM ASAFO SENIOR HIGH SCHOOL,AKIM ASAFO,EAST AKIM MUNICIPAL,EASTERN
ABUAKWA STATE COLLEGE,KIBI,EAST AKIM MUNICIPAL,EASTERN
KIBI SENIOR HIGH/TECH SCHOOL,KIBI,EAST AKIM MUNICIPAL,EASTERN
APEDWA PRESBY SENIOR HIGH SCHOOL,APEDWA,EAST AKIM MUNICIPAL,EASTERN
"PRESBY SENIOR HIGH SCHOOL, BEGORO",BEGORO,FANTEAKWA,EASTERN
OSINO PRESBY SENIOR HIGH/TECH SCHOOL,OSINO,FANTEAKWA,EASTERN
NEW NSUTAM SENIOR HIGH/TECH SCHOOL,NEW NSUTAM,FANTEAKWA,EASTERN
ASUOM SENIOR HIGH SCHOOL,ASUOM,KWAEBIBIREM,EASTERN
KADE SENIOR HIGH/TECH SCHOOL,KADE,KWAEBIBIREM,EASTERN
AMANKWAKROM FISHERIES AGRIC. TECH. INST.,AMANKWAKROM,KWAHU AFRAM PLAINS NORTH,EASTERN
ST. MARY'S VOC./TECH. INST.,ADIEMBRA,KWAHU AFRAM PLAINS NORTH,EASTERN
"ST. DOMINIC'S SENIOR HIGH/TECH SCHOOL, PEPEASE",PEPEASE,KWAHU EAST,EASTERN
ABETIFI TECH. INST.,ABETIFI,KWAHU EAST,EASTERN
ABETIFI PRESBY SENIOR HIGH SCHOOL,ABETIFI,KWAHU EAST,EASTERN
KWAHU TAFO SENIOR HIGH SCHOOL,KWAHU TAFO,KWAHU EAST,EASTERN
NKWATIA PRESBY SENIOR HIGH/COMM SCHOOL,NKWATIA,KWAHU EAST,EASTERN
"ST. PETER'S SENIOR HIGH SCHOOL, NKWATIA",NKWATIA,KWAHU EAST ,EASTERN
"ST. PAUL'S SENIOR HIGH SCHOOL, ASAKRAKA KWAHU",ASAKRAKA-,KWAHU SOUTH,EASTERN
BEPONG SENIOR HIGH SCHOOL,BEPONG,KWAHU SOUTH,EASTERN
MPRAESO SENIOR HIGH SCHOOL,MPRAESO,KWAHU SOUTH,EASTERN
KWAHU RIDGE SENIOR HIGH SCHOOL,OBO-KWAHU,KWAHU SOUTH,EASTERN
ST. JOSEPH'S TECH. INST.,KWAHU-TAFO,KWAHU SOUTH,EASTERN
FODOA COMM. SENIOR HIGH SCHOOL,FODOA NKAWKAW,KWAHU WEST MUNICIPAL,EASTERN
NKAWKAW SENIOR HIGH SCHOOL,NKAWKAW,KWAHU WEST MUNICIPAL,EASTERN
MANYA KROBO SENIOR HIGH SCHOOL,NEW NUASO,LOWER MANYA KROBO,EASTERN
AKRO SENIOR HIGH/TECH SCHOOL,ODUMASE,LOWER MANYA KROBO,EASTERN
KROBO GIRLS SENIOR HIGH SCHOOL,ODUMASE,LOWER MANYA KROBO,EASTERN
AKUSE METHODIST SENIOR HIGH/TECH SCHOOL,AKUSE,LOWER MANYA KROBO,EASTERN
KOFORIDUA TECH. INST.,KOFORIDUA,NEW JUABEN,EASTERN
"PENTECOST SENIOR HIGH SCHOOL,KOFORIDUA",KOFORIDUA,NEW JUABEN,EASTERN
OYOKO METHODIST  SENIOR HIGH SCHOOL,OYOKO,NEW JUABEN MUNICIPAL,EASTERN
"S.D.A SENIOR HIGH SCHOOL, KOFORIDUA",ASOKORE-KOFORIDUA,NEW JUABEN MUNICIPAL,EASTERN
"GHANA SENIOR HIGH SCHOOL, KOFORIDUA",KOFORIDUA,NEW JUABEN MUNICIPAL,EASTERN
OTI BOATENG SENIOR HIGH SCHOOL,ADA/KOFORIDUA,NEW JUABEN MUNICIPAL,EASTERN
"POPE JOHN SENIOR HIGH & MIN. SEM. SCHOOL, KOFORIDUA",KOFORIDUA,NEW JUABEN MUNICIPAL,EASTERN
KOFORIDUA SENIOR HIGH/TECH SCHOOL,KOFORIDUA,NEW JUABEN MUNICIPAL,EASTERN
NEW JUABEN SENIOR HIGH/COMM SCHOOL,KOFORIDUA,NEW JUABEN MUNICIPAL,EASTERN
"ST. MARTIN'S SENIOR HIGH SCHOOL, NSAWAM",NSAWAM,NSAWAM ADOAGYIRI,EASTERN
NSAWAM SENIOR HIGH SCHOOL,NSAWAM,NSAWAM ADOAGYIRI,EASTERN
"PRESBY SENIOR HIGH SCHOOL, SUHUM",SUHUM,SUHUM MUNICIPAL,EASTERN
SUHUM SENIOR HIGH/TECH SCHOOL,SUHUM,SUHUM MUNICIPAL,EASTERN
"ISLAMIC GIRLS SENIOR HIGH SCHOOL,SUHUM",KORASE-SUHUM,SUHUM MUNICIPAL,EASTERN
ASESEWA SENIOR HIGH SCHOOL,ASESEWA,UPPER MANYA KROBO,EASTERN
ADEISO PRESBY SENIOR HIGH SCHOOL,ADEISO,UPPER WEST AKIM,EASTERN
KWAOBAAH NYANOA COMM. SENIOR HIGH SCHOOL,NYANOA,UPPER WEST AKIM,EASTERN
ASAMANKESE SENIOR HIGH SCHOOL,ASAMANKESE,WEST AKIM MUNICIPAL,EASTERN
ST. THOMAS SENIOR HIGH/TECH SCHOOL,ASAMANKESE,WEST AKIM MUNICIPAL,EASTERN
KLO-AGOGO SENIOR HIGH SCHOOL,KLO-AGOGO,YILO KROBO,EASTERN
YILO KROBO SENIOR HIGH/COMM SCHOOL,SOMANYA,YILO KROBO,EASTERN
KANESHIE SENIOR HIGH/TECH SCHOOL,KANESHIE,ABLEKUMA CENTRAL MUNICIPAL,GREATER ACCRA
WESLEY GRAMMAR SENIOR HIGH SCHOOL,DANSOMAN,ABLEKUMA NORTH MUNICPAL,GREATER ACCRA
ST. MARGARET MARY SENIOR HIGH/TECH SCHOOL,DANSOMAN,ABLEKUMA WEST MUNICPAL,GREATER ACCRA
EBENEZER SENIOR HIGH SCHOOL,DANSOMAN,ABLEKUMA WEST MUNICPAL,GREATER ACCRA
ACCRA ACADEMY,KANESHIE,ACCRA METRO,GREATER ACCRA
ACCRA WESLEY GIRLS SENIOR HIGH SCHOOL,KANESHIE,ACCRA METRO,GREATER ACCRA
HOLY TRINITY SENIOR HIGH SCHOOL,HIGH STREET-ACCRA,ACCRA METRO,GREATER ACCRA
"ST. MARY'S SENIOR HIGH SCHOOL, KORLE GONNO",KORLE GONNO,ACCRA METRO,GREATER ACCRA
SACRED HEART TECH. INST.,JAMES TOWN,ACCRA METRO ,GREATER ACCRA
ADA TECH. INST.,ADA,ADA EAST DISTRICT,GREATER ACCRA
ADA SENIOR HIGH SCHOOL,ADA-FOAH,ADA EAST DISTRICT,GREATER ACCRA
ADA SENIOR HIGH/TECH SCHOOL,SEGE,ADA WEST DISTRICT,GREATER ACCRA
FRAFRAHA COMM. SENIOR HIGH SCHOOL,FRAFRAHA,ADENTAN MUNICIPAL,GREATER ACCRA
ASHIAMAN SENIOR HIGH SCHOOL,ASHIAMAN,ASHIAMAN MUNICIPAL,GREATER ACCRA
ASHIAMAN TECH/VOC. INST.,ASHIAMAN,ASHIAMAN MUNICIPAL,GREATER ACCRA
ACCRA TECH. TRG. CENTRE,KOKOMLEMLE,AYAWASO CENTRAL MUNICIPAL,GREATER ACCRA
ACCRA GIRLS SENIOR HIGH SCHOOL,MAMOBI,AYAWASO NORTH MUNICIPAL,GREATER ACCRA
ODORGONNO SENIOR HIGH SCHOOL,AWOSHIE,GA CENTRAL MUNICIPAL,GREATER ACCRA
KWABENYA COMM. SENIOR HIGH SCHOOL,KWABENYA,GA EAST MUNICIPAL,GREATER ACCRA
ST. JOHN'S GRAMMAR SENIOR HIGH SCHOOL,ACHIMOTA,GA NORTH MUNICIPAL ,GREATER ACCRA
CHRISTIAN METHODIST SENIOR HIGH SCHOOL,APLAKU (WEIJA),GA SOUTH MUNICIPAL,GREATER ACCRA
NGLESHIE AMANFRO SENIOR HIGH SCHOOL,NGLESHIE ,GA SOUTH MUNICIPAL,GREATER ACCRA
ADJEN KOTOKU SENIOR HIGH SCHOOL,ADJEN KOTOKU,GA WEST MUNICIPAL,GREATER ACCRA
AMASAMAN SENIOR HIGH/TECH SCHOOL,AMASAMAN,GA WEST MUNICIPAL,GREATER ACCRA
ACCRA SENIOR HIGH SCHOOL,ASYLUM DOWN,KORLEY KLOTTEY MUNICIPAL,GREATER ACCRA
"PRESBY SENIOR HIGH SCHOOL, OSU",OSU,KORLEY KLOTTEY MUNICIPAL,GREATER ACCRA
KINBU SENIOR HIGH/TECH SCHOOL,TUDU - ACCRA,KORLEY KLOTTEY MUNICIPAL,GREATER ACCRA
KPONE COMM. SENIOR HIGH SCHOOL,KATAMANSO,KPONE KATAMANSO MUNICIPAL,GREATER ACCRA
O'REILLY SENIOR HIGH SCHOOL,OKPOI GOMME,KROWOR MUNICIPAL,GREATER ACCRA
NUNGUA SENIOR HIGH SCHOOL,NUNGUA,KROWOR MUNICIPAL,GREATER ACCRA
"FORCES SENIOR HIGH/TECH SCHOOL, BURMA CAMP",BURMA CAMP,LA DADE-KOTOPON MUNICIPAL,GREATER ACCRA
"ST. THOMAS AQUINAS SENIOR HIGH SCHOOL, CANTOMENTS",CANTONMENTS,LA DADE-KOTOPON MUNICIPAL,GREATER ACCRA
LABONE SENIOR HIGH SCHOOL,LABONE,LA DADE-KOTOPON MUNICIPAL,GREATER ACCRA
LA PRESBY SENIOR HIGH SCHOOL,LA EMMAUS,LA DADE-KOTOPON MUNICIPAL,GREATER ACCRA
WEST AFRICA SENIOR HIGH SCHOOL,ADENTA,LA NKWANTANANG MADINA MUNICIPAL,GREATER ACCRA
"PRESBY BOYS SENIOR HIGH SCHOOL, LEGON",LEGON,LA NKWANTANANG MADINA MUNICIPAL,GREATER ACCRA
"PRESBY SENIOR HIGH SCHOOL, TESHIE",TESHIE,LEDZOKUKU MUNICIPAL,GREATER ACCRA
TESHIE TECH. INSTITTUTE,TESHIE,LEDZOKUKU MUNICIPAL,GREATER ACCRA
PRAMPRAM SENIOR HIGH SCHOOL,PRAMPRAM,NINGO PRAMPRAM DISTRICT,GREATER ACCRA
NINGO SENIOR HIGH SCHOOL,OLD NINGO,NINGO PRAMPRAM DISTRICT,GREATER ACCRA
ACHIMOTA SENIOR HIGH SCHOOL,ACHIMOTA,OKAIKOI NORTH MUNICIPAL,GREATER ACCRA
OSUDOKU SENIOR HIGH/TECH SCHOOL,ASUTSUARE,SHAI-OSUDOKU DISTRICT,GREATER ACCRA
GHANATA SENIOR HIGH SCHOOL,DODOWA,SHAI-OSUDOKU DISTRICT ,GREATER ACCRA
TEMA METH. DAY SENIOR HIGH SCHOOL,TEMA COMM II,TEMA METRO,GREATER ACCRA
TEMA TECH. INST.,TEMA,TEMA METRO,GREATER ACCRA
"PRESBY SENIOR HIGH SCHOOL, TEMA",TEMA,TEMA METRO,GREATER ACCRA
TEMA MANHEAN SENIOR HIGH/TECH SCHOOL,TEMA NEW TOWN,TEMA METRO,GREATER ACCRA
CHEMU SENIOR HIGH/TECH SCHOOL,TEMA COMM 4,TEMA METRO,GREATER ACCRA
OUR LADY OF MERCY SENIOR HIGH SCHOOL,TEMA COMM 4,TEMA METRO,GREATER ACCRA
TEMA SENIOR HIGH SCHOOL,TEMA COMM 5,TEMA WEST MUNICIPAL,GREATER ACCRA
LASHIBI COMMUNITY SENIOR HIGH SCHOOL,LASHIBI- SAKUMONO,TEMA WEST MUNICIPAL ,GREATER ACCRA
NAKPANDURI SENIOR HIGH SCHOOL,NAKPANDURI,BUNKRUPGU-YUNGUO,NORTH EAST
BUNKPURUGU SENIOR HIGH/TECH SCHOOL,BUNKUPURUGU,BUNKRUPGU-YUNGUO,NORTH EAST
CHEREPONI SENIOR HIGH/TECH SCHOOL,CHEREPONI,CHEREPONI ,NORTH EAST
GAMBAGA GIRLS SENIOR HIGH SCHOOL,GAMBAGA,EAST MAMPRUSI,NORTH EAST
NALERIGU SENIOR HIGH SCHOOL,NALERIGU,EAST MAMPRUSI,NORTH EAST
SAKOGU SENIOR HIGH/TECH SCHOOL,SAKOGU,EAST MAMPRUSI,NORTH EAST
YAGABA SENIOR HIGH SCHOOL,YAGABA,MAMPRUGU MOADURI ,NORTH EAST
WULUGU SENIOR HIGH SCHOOL,WULUGU,WEST MAMPRUSI,NORTH EAST
WALEWALE SENIOR HIGH SCHOOL,WALEWELE,WEST MAMPRUSI,NORTH EAST
JANGA SENIOR HIGH/TECH SCHOOL,MUNICIPAL ASSEMBLY,WEST MAMPRUSI MUNICIPAL,NORTH EAST
WALEWALETECH/ VOC INST.,WALEWALE,WEST MAMPUSI,NORTH EAST
LANGBINSI SENIOR HIGH TECHNICAL SCHOOL,LANGBINSI,EAST MAMPRUSI MUNICIPAL,NORTH EAST 
GUSHEGU SENIOR HIGH SCHOOL,GUSHEGU,GUSHEGU ,NORTHERN
KARAGA SENIOR HIGH SCHOOL,KARAGA,KARAGA,NORTHERN
KPANDAI SENIOR HIGH SCHOOL,KPANDAI,KPANDI,NORTHERN
KUMBUNGU SENIOR HIGH SCHOOL,KUMBUNGU,KUMBUNGU,NORTHERN
SANG COMM. DAY SCHOOL,SANG,MION,NORTHERN
BIMBILLA SENIOR HIGH SCHOOL,BIMBILLA,NANUMBA NORTH,NORTHERN
WULENSI SENIOR HIGH SCHOOL,WULENSI,NANUMBA SOUTH ,NORTHERN
WAPULI COMM. SENIOR HIGH SCHOOL,WAPULI,SABOBA,NORTHERN
SABOBA E.P. SENIOR HIGH SCHOOL,SABOBA,SABOBA,NORTHERN
ST. JOSEPH'S TECH. INST.,SABOBA,SABOBA,NORTHERN
"ISLAMIC SCIENCE SENIOR HIGH SCHOOL, TAMALE",TAMALE,SAGNERIGU,NORTHERN
NORTHERN SCHOOL OF BUSINESS,TAMALE,SAGNERIGU,NORTHERN
TAMALE TECHNICAL INSTITUTE,TAMALE,SAGNERIGU,NORTHERN
TAMALE SENIOR HIGH SCHOOL,TAMALE,SAGNERIGU,NORTHERN
KALPOHIN SENIOR HIGH SCHOOL,TAMALE,SAGNERIGU ,NORTHERN
PONG-TAMALE SENIOR HIGH SCHOOL,PONG-TAMALE,SAVELUGU-NANTON,NORTHERN
SAVELUGU SENIOR HIGH SCHOOL,SAVELUGU,SAVELUGU-NANTON,NORTHERN
"BUSINESS SENIOR HIGH SCHOOL, TAMALE",TAMALE,TAMALE METRO,NORTHERN
"GHANA SENIOR HIGH SCHOOL, TAMALE",TAMALE,TAMALE METRO,NORTHERN
DABOKPA VOC/TECH. INST.,TAMALE,TAMALE METRO,NORTHERN
VITTING SENIOR HIGH/TECH.,TAMALE,TAMALE METRO,NORTHERN
"ST. CHARLES SENIOR HIGH SCHOOL, TAMALE",TAMALE,TAMALE METRO,NORTHERN
ANBARIYA SENIOR HIGH SCHOOL,TAMALE,TAMALE METRO,NORTHERN
TAMALE GIRLS SENIOR HIGH SCHOOL,TAMALE,TAMALE METRO,NORTHERN
"PRESBY SENIOR HIGH SCHOOL, TAMALE",TAMALE,TAMALE METRO,NORTHERN
E. P. AGRIC SENIOR HIGH/TECH SCHOOL,TATALE,TATALE SANGULI ,NORTHERN
KASULIYILI SENIOR HIGH SCHOOL,KASULIYILI,TOLON ,NORTHERN
TOLON SENIOR HIGH SCHOOL,TOLON,TOLON ,NORTHERN
DAGBON STATE SENIOR HIGH/TECH SCHOOL,YENDI,YENDI MUNICIPAL,NORTHERN
YENDI SENIOR HIGH SCHOOL,YENDI,YENDI MUNICIPAL,NORTHERN
ZABZUGU SENIOR HIGH SCHOOL,ZABZUGU,ZABZUGU ,NORTHERN
WORAWORA SENIOR HIGH SCHOOL,WORAWORA,BIAKOYE,OTI
TAPAMAN SENIOR HIGH/TECH SCHOOL,TAPA-AMANFROM,BIAKOYE,OTI
BOWIRI COMM. DAY SCHOOL,BOWIRI,BIAKOYE,OTI
NKONYA SENIOR HIGH SCHOOL,NKONYA-AHENKRO,BIAKOYE,OTI
BIAKOYE COMM. DAY SCHOOL,KWAMEKROM ,BIAKOYE,OTI
BUEMAN SENIOR HIGH SCHOOL,JASIKAN,JASIKAN,OTI
OKADJAKROM SENIOR HIGH/TECH SCHOOL,OKADJAKROM,JASIKAN,OTI
BAGLO  RIDGE SENIOR HIGH/TECH SCHOOL,BAGLO,JASIKAN,OTI
FR. DOGLI MEMORIAL VOC.TECH. INST.,NEW AYOMA,JASIKAN,OTI
AHAMANSU ISLAMIC SENIOR HIGH SCHOOL,AHAMANSU,KADJEBI,OTI
DODI-PAPASE SENIOR HIGH/TECH SCHOOL,DODI PAPASE,KADJEBI,OTI
KADJEBI-ASATO SENIOR HIGH SCHOOL,KADJETO-ASATO,KADJEBI,OTI
OTI SENIOR HIGH/TECH SCHOOL,DAMBAI,KRACHI EAST,OTI
YABRAM COMM. DAY SCHOOL,DAMBAI,KRACHI EAST,OTI
ASUKAWKAW SENIOR HIGH SCHOOL,ASUKAWKAW,KRACHI EAST,OTI
NCHUMURUMAN COMM. DAY SENIOR HIGH SCHOOL,[NEAR] TEGBI,KRACHI NCHUMURU,OTI
KETE KRACHI SENIOR HIGH/TECH SCHOOL,KETE-KRACHI,KRACHI WEST,OTI
KRACHI SENIOR HIGH SCHOOL,KETE-KRACHI,KRACHI WEST,OTI
KPASSA SENIOR HIGH/TECH SCHOOL,KPASSA,NKWANTA NORTH,OTI
NKWANTA SENIOR HIGH SCHOOL,NKWANTA,NKWANTA SOUTH,OTI
NKWANTA COMM SENIOR HIGH SCHOOL,NKWANTA,NKWANTA SOUTH,OTI
KYABOBO GIRLS SENIOR HIGH SCHOOL,NKWANTA,NKWANTA SOUTH,OTI
NTRUBOMAN SENIOR HIGH SCHOOL,BREWANIASE,NKWANTA SOUTH,OTI
BAMBOI COMM. SENIOR HIGH SCHOOL,BAMBOI,BOLE,SAVANNAH
BOLE SENIOR HIGH SCHOOL,BOLE ,BOLE,SAVANNAH
ST. ANTHONY OF PADUA SENIOR HIGH/TECH SCHOOL,BAMBOI,BOLE,SAVANNAH
BUIPE SENIOR HIGH SCHOOL,BUIPE,CENTRAL GONJA,SAVANNAH
BUIPE TECH/VOC INST.,BUIPE,CENTRAL GONJA,SAVANNAH
MPAHA COMMUNITY DAY SENIOR HIGH SCHOOL,MPAHA,CENTRAL GONJA,SAVANNAH
SALAGA SENIOR HIGH SCHOOL,SALAGA,EAST GONJA,SAVANNAH
SALAGA T.I. AHMAD SENIOR HIGH SCHOOL,SALAGA,EAST GONJA,SAVANNAH
DABOYA COMM. DAY SCHOOL,DABOYA,NORTH GONJA,SAVANNAH
TUNA SENIOR HIGH/TECH SCHOOL,TUNA,SAWLA-TUNA-KALBA,SAVANNAH
SAWLA SENIOR HIGH SCHOOL,SAWLA,SAWLA-TUNA-KALBA,SAVANNAH
