SCHOOL,LOCATION,DISTRICT,REGION
"COLLINS SENIOR HIGH/COMMERCIAL SCHOOL, AGOGO",AGOGO,ASANTE AKIM NORTH,ASHANTI
OWERRIMAN SENIOR HIGH SCHOOL,DOMEABRA,ASANTE AKIM NORTH,ASHANTI
KUROFA METHODIST SENIOR HIGH SCHOOL,KUROFA,ASANTE AKIM SOUTH,ASHANTI
BOMPATA PRESBY SENIOR HIGH SCHOOL,BOMPATA,ASANTE AKIM SOUTH,ASHANTI
JUASO SENIOR HIGH/TECH SCHOOL,JUASO,ASANTE AKIM SOUTH,ASHANTI
JUBILEE SENIOR HIGH SCHOOL,DAMPONG,ASANTE AKIM SOUTH,ASHANTI
OFOASE SENIOR HIGH/TECH SCHOOL,OFOASE,ASANTE AKIM SOUTH,ASHANTI
BANKA COMM. SENIOR HIGH SCHOOL,BANKA,ASANTE AKIM SOUTH,ASHANTI
PARKOSO COMM. SENIOR HIGH SCHOOL,PARKOSO,ASOKORE MAMPONG MUNICIPAL,ASHANTI
KUMASI ACADEMY,ASOKORE ,ASOKORE MAMPONG MUNICIPAL,ASHANTI
SAKAFIA ISLAMIC SENIOR HIGH SCHOOL,SAWABA,ASOKORE MAMPONG MUNICIPAL,ASHANTI
AFUA KOBI AMPEM GIRLS' SENIOR HIGH SCHOOL,TRABUOM,ATWIMA KWANWOMA,ASHANTI
ATWIMA KWANWOMA SENIOR HIGH/TECH SCHOOL,TREDE,ATWIMA KWANWOMA,ASHANTI
KWANWOMA SENIOR HIGH SCHOOL,ADUM KWANWOMA,ATWIMA KWANWOMA,ASHANTI
MPASATIA SENIOR HIGH/TECH SCHOOL,MPASATIA,ATWIMA MPONUA,ASHANTI
NYINAHIN CATH. SENIOR HIGH SCHOOL,NYINAHIN,ATWIMA MPONUA,ASHANTI
ADOBEWORA COMM. SENIOR HIGH SCHOOL,ADOBEWORA,ATWIMA MPONUA,ASHANTI
BAREKESE SENIOR HIGH SCHOOL,BAREKESE,ATWIMA NWABIAGYA,ASHANTI
"OSEI TUTU SENIOR HIGH SCHOOL, AKROPONG",AKROPONG,ATWIMA NWABIAGYA,ASHANTI
NKAWIE SENIOR HIGH/TECH SCHOOL,NKAWIE,ATWIMA NWABIAGYA,ASHANTI
TOASE SENIOR HIGH SCHOOL,TOASE,ATWIMA NWABIAGYA,ASHANTI
OPPONG MEM. SENIOR HIGH SCHOOL,KOKOFU,BEKWAI MUNICIPAL,ASHANTI
OFOASE KOKOBEN SENIOR HIGH SCHOOL,OFOASE KOKOBIN ,BEKWAI MUNICIPAL,ASHANTI
"S.D.A. SENIOR HIGH SCHOOL, BEKWAI",BEKWAI,BEKWAI MUNICIPAL,ASHANTI
"WESLEY HIGH SCHOOL, BEKWAI",BEKWAI,BEKWAI MUNICIPAL,ASHANTI
"ST. JOSEPH SENIOR HIGH/TECH SCHOOL, AHWIREN",AHWIREN,BEKWAI MUNICIPAL,ASHANTI
DENYASEMAN CATH.SENIOR HIGH SCHOOL,POANO,BEKWAI MUNICIPAL,ASHANTI
BOSOME SENIOR HIGH/TECH. SCHOOL,ASIWA,BOSOME FREHO,ASHANTI
ST. MICHAEL TECH/VOC INST,PRAMSO,BOSOMTWE,ASHANTI
JACHIE PRAMSO SENIOR HIGH SCHOOL,JACHIE PRAMSO,BOSOMTWE,ASHANTI
ST. GEORGE'S SENIOR HIGH TECH SCHOOL,KUNTANASE,BOSOMTWE,ASHANTI
BEPOSO SENIOR HIGH SCHOOL,BEPOSO,BOSOMTWE,ASHANTI
OSEI ADUTWUM SENIOR HIGH SCHOOL,JACHIE,BOSOMTWE ,ASHANTI
BOSOMTWE OYOKO COMM. SENIOR HIGH SCHOOL,BOSOMTWE OYOKO,BOSOMTWE ,ASHANTI
CHURCH OF CHRIST SENIOR HIGH SCHOOL,[NEAR] WOE,EJISU JUABEN,ASHANTI
ST. SEBASTIAN CATH. SENIOR HIGH SCHOOL,ADUMASA,EJISU JUABEN,ASHANTI
JUABEN SENIOR HIGH SCHOOL,JUABEN,EJISU JUABEN MUNICIPAL,ASHANTI
BONWIRE SENIOR HIGH/TECH SCHOOL,BONWIRE,EJISU JUABEN MUNICIPAL,ASHANTI
EJISUMAN SENIOR HIGH SCHOOL,EJISU,EJISU JUABEN MUNICIPAL,ASHANTI
EJISU SENIOR HIGH/TECH SCHOOL,EJISU,EJISU JUABEN MUNICIPAL,ASHANTI
ACHINAKROM SENIOR HIGH SCHOOL,ACHINAKROM,EJISU JUABEN MUNICIPAL,ASHANTI
ONWE SENIOR HIGH SCHOOL,EJISU ONWE,EJISU ONWE,ASHANTI
EJURAMAN ANGLICAN SENIOR HIGH SCHOOL,EJURA,EJURA/SEKYEDUMASE,ASHANTI
SEKYEDUMASE SENIOR HIGH/TECH SCHOOL,SEKYEDUMASE,EJURA/SEKYEDUMASE,ASHANTI
